artist,title,genre,videoId
(여자)아이들,TOMBOY,"kpop,rock,alternative",Jh4QFaPmdss
Adele,Rolling in the Deep,"pop,soul,ballad,alternative",rYEDA3JcQqw
AKMU,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","kpop,ballad,alternative",m3DZsBw5bnE
AKMU,Love Lee,"kpop,pop,dance",EIz09kLzN9k
Ariana Grande,"thank u, next",pop,gl1aHhXnN1k
Avicii,Wake Me Up,"edm,pop,alternative",IcrbM1l_BoI
Billie Eilish,bad guy,"pop,alternative,synth",DyDfgMOUjCI
BLACKPINK,How You Like That,"kpop,dance",ioNng23DkIM
BLACKPINK,DDU-DU DDU-DU,"kpop,dance,hiphop,edm",IHNzOHi8sJs
BLACKPINK,How You Like That,"kpop,dance,hiphop,edm",ioNng23DkIM
BLACKPINK,Kill This Love,"kpop,dance,hiphop,edm",2S24-y0Ij3Y
Bruno Mars,24K Magic,"funk,pop",UqyT8IEBkvY
Bruno Mars,Locked Out Of Heaven,"pop,rock,funk",e-fA-gBCkj0
BTS,Dynamite,"kpop,pop,disco",gdZLi9oWNZg
BTS,봄날,"kpop,ballad,alternative",xE1F9jVz2kY
Charlie Puth,Attention,"pop,funk,r&b",nfs8NYg7yQM
Coldplay,Viva La Vida,"rock,pop,alternative",dvgZvnPRlw
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),"disco,funk,edm,pop",5NV6Rdv1a3I
Doja Cat,Say So,"pop,disco,r&b",pok8H_KF1FA
Dua Lipa,Don't Start Now,"pop,disco,dance",oygrmJFKYZY
Ed Sheeran,Shape of You,"pop,dance",JGwWNGJdvx8
Eminem,Lose Yourself,"hiphop,rock",_Yhyp-_hX2s
EXO,으르렁 (Growl),"kpop,dance,r&b",I3dezFzsNss
FIFTY FIFTY,Cupid,"kpop,pop,synth",QZDs_3_686E
Harry Styles,As It Was,"pop,synth,alternative",H5v3kku4y6Q
Idina Menzel,Let It Go,"pop,soul",L0MK7qz13bU
Imagine Dragons,Believer,"rock,pop,alternative",7wtfhZwyrcc
ITZY,달라달라,"kpop,dance,edm",pNfTK39k55U
IVE,LOVE DIVE,"kpop,dance,pop",Y8JFxS1HlDo
IVE,I AM,"kpop,dance,pop,synth",6ZUIwj3FgCE
IVE,After LIKE,"kpop,dance,disco,pop",F0B7HDiY-10
Justin Bieber,Sorry,"pop,dance",fRh_vgS2dFE
Justin Bieber,Peaches (feat. Daniel Caesar and Giveon), "pop,r&b",tQ0yjYUFKAE
Katy Perry,Roar,pop,CevxZvSJLk8
Lady Gaga & Bradley Cooper,"Shallow,"pop,ballad,rock",bo_efYhYU2A
LE SSERAFIM,ANTIFRAGILE,"kpop,dance,edm",pyf8cbAwCGU
Mark Ronson,Uptown Funk (feat. Bruno Mars),"funk,pop,dance",OPf0YbXqDm0
Maroon 5,Sugar,"pop,rock,funk",09R8_2nJtjg
Miley Cyrus,Flowers,"pop,disco,dance",G7KNmW9a75Y
NCT 127,영웅 (英雄; Kick It),"kpop,dance,hiphop",2OvyA2__Eas
NewJeans,Hype Boy,"kpop,dance,r&b",11cta61wi0g
NewJeans,Ditto,"kpop,dance,pop,r&b",pSUydWEqKwE
NMIXX,DICE,"kpop,dance,pop,hiphop",p1bjnyDqI9k
NMIXX,Heavy Serenade,"kpop,pop",6Ycn9qZK09I
NMIXX,Blue Valentine,"kpop,pop",EmeW6li6bbo
Olivia Rodrigo,good 4 u,"pop,rock,alternative",gNi_6U5Pm_o
Post Malone,Circles,"pop,hiphop,alternative",wXhTHyIgQ_U
PSY,강남스타일,"kpop,pop,dance,edm",9bZkp7q19f0
PSY,That That (prod. & feat. SUGA of BTS),"kpop,dance,hiphop,edm",8dJyRm2jJ-U
QWER,고민중독,"kpop,rock,pop,dance",5b8J8pU6rGw
Rihanna,Umbrella (feat. JAY-Z),"pop,r&b,hiphop",CvBfHwUxHIk
세븐틴,아주 NICE,"kpop,dance,funk",J-wFp43XOrA
STAYC,ASAP,"kpop,dance,synth",NsY-9MCOIAQ
SZA,Kill Bill,"r&b,pop,alternative",SQnc1QibapQ
Taylor Swift,Shake It Off,"pop,dance",nfWlot6h_JM
The Kid LAROI & Justin Bieber,STAY,"pop,synth,alternative",kTJczUoc26U
The Weeknd,Blinding Lights,"pop,synth,r&b",4NRXx6U8ABQ
Wiz Khalifa ft. Charlie Puth,See You Again,"hiphop,pop,ballad",RgKAFK5djSk
ZICO,아무노래,"kpop,hiphop,dance",UuV2BmJ1p_I
다이나믹 듀오,"Smoke (Prod. Dynamicduo, Padi)","kpop,hiphop",d9a_v91mG-M
데이식스,한 페이지가 될 수 있게,"kpop,rock,alternative",vnS_jn2uigg
데이식스,예뻤어,"kpop,rock,ballad,alternative",bs7PT-Z-qxE
라이즈,Get A Guitar,"kpop,pop,funk",iUw3LPM7Oco
레드벨벳,빨간 맛 (Red Flavor),"kpop,dance,synth,edm",WyiIGEHQP8o
로꼬 & 유주,우연히 봄,"kpop,pop,alternative",t2ZONN3xJkY
루시,개화 (Flowering),"kpop,rock,pop,alternative",_tD1Q6pZt2k
리센느,Love Attack,"kpop,pop,dance",9XttLI0oH0I
마마무,힙 (HIP),"kpop,dance,funk",KhTeiaCezwM
마크툽,오늘도 빛나는 너에게,"kpop,ballad,r&b",0_sH1y7Qj2U
멜로망스,선물,"kpop,ballad,pop",q2aJ-d8tW2w
박효신,야생화,"kpop,ballad,soul",_hsrsmwHv0A
방탄소년단,피 땀 눈물,"kpop,dance,edm,r&b",hmE9f-TEutc
백예린,Square (2017),"kpop,pop,alternative,r&b",4i4YjKsqd4E
버스커 버스커,벚꽃 엔딩,"kpop,alternative,pop",tXV7dfvSefo
볼빨간사춘기,우주를 줄게,"kpop,pop,alternative,r&b",9U8uA702xrE
브레이브걸스,롤린 (Rollin'),"kpop,dance,edm",3cZrxpK2EAQ
비비,밤양갱,"kpop,pop,alternative",sMwX_Q-U04k
비투비,그리워하다,"kpop,ballad,pop",wDjhQ7qG_jA
빅뱅,뱅뱅뱅 (BANG BANG BANG),"kpop,hiphop,edm",2ips2mM7Zqw
선미,가시나,"kpop,dance,synth",ur0hCdne2-s
성시경,너의 모든 순간,"kpop,ballad,pop",5t5bQn5ZfEw
세븐틴,손오공 (Super),"kpop,dance,hiphop,edm",#NAME?
소녀시대,다시 만난 세계 (Into The New World),"kpop,dance,pop",0k2Zzkw_-0I
송가인,엄마 아리랑,"kpop,trot,ballad",3x287i_J8iA
송민호,아낙네,"kpop,hiphop,trot",32sNV-GwgxE
아이유,Blueming,"kpop,pop,dance",D1PvIWdJ8xo
아이유,밤편지,"kpop,ballad,pop",BzYnNdJhZQw
아이유,좋은 날,"kpop,dance,synth",jeqdYqsrsA0
아이유,Love wins all,"kpop,ballad,pop",JleoAppaxi0
에스파,Next Level,"kpop,dance,edm,hiphop",4TWR90KJl84
에스파,Supernova,"kpop,dance,edm,synth",phuiiNCxRMg
에일리,첫눈처럼 너에게 가겠다,"kpop,ballad,pop,r&b",xXqQxNMKEhw
여자친구,오늘부터 우리는,"kpop,dance,pop",YYHyAIFG3iI
영탁,찐이야,"kpop,trot,dance",WvF54VdGq9o
오마이걸,살짝 설렜어 (Nonstop),"kpop,dance,pop,synth",iDjQSdN_ig8
워너원,에너제틱 (Energetic),"kpop,dance,edm",EVaV7AwqBWg
윤종신,좋니,"kpop,ballad,soul",aHDBi5M-Z6Y
윤하,사건의 지평선,"kpop,rock,pop,alternative",BZ9YyX-oatc
이무진,신호등,"kpop,pop,rock",sk-80vJ8Huc
이하이,누구 없소 (NO ONE) (Feat. B.I of iKON),"kpop,pop,r&b,alternative",jD1H0A2O_0g
임영웅,사랑은 늘 도망가,"kpop,trot,ballad,pop",9VntP27zJGE
잔나비,주저하는 연인들을 위해,"kpop,rock,alternative",Fzv0-Uq5mU4
정국,Seven (feat. Latto),"kpop,pop,dance,r&b",QU9c0053UAU
정은지,하늘바라기 (feat. 하림),"kpop,ballad,pop,alternative",zKkHj6YdFXY
조용필,바운스 (Bounce),"kpop,rock,pop",T4kUuTq9oYI
지드래곤,삐딱하게 (Crooked),"kpop,dance,rock,hiphop",RKhsHGfrFmY
지코,새삥 (Prod. ZICO) (Feat. 호미들),"kpop,hiphop",uS2tWtv_O10
지코,Artist,"kpop,hiphop,dance,funk",obzb7nlpXZ0
창모,METEOR,"kpop,hiphop,pop",lO_D_bU0mEQ
크러쉬,Beautiful,"kpop,ballad,r&b",W0cs6ciPt_k
태양,"눈, 코, 입","kpop,r&b,ballad",UwuAPyOImoI
태연,INVU,"kpop,pop,synth",AbZH7XWDW_k
트와이스,TT,"kpop,pop,synth,pop",ePpPVE-GGJw
트와이스,What is love?,"kpop,pop,synth,pop",i0p1bmr0EmE
트와이스,CHEER UP,"kpop,dance",c7rCyll5AeY
폴킴,"모든 날, 모든 순간","kpop,ballad,pop",_L-d5t_t1Gk
프로미스나인,Supersonic,"kpop,pop,dance",0LiQp7y8Wwc
헤이즈,널 너무 모르고,"kpop,r&b,hiphop",vvkWaI91LZM
화사,마리아 (Maria),"kpop,dance,pop,r&b",tDukIfFzX18
